Rank,First,Last,alt,Party,picture_URL,Twitter_URL,Twitter Followers,FB_URL,Facebook_Connections,SMI_Index_per_million,,nate silver link
1,Hillary,Clinton,Clinton_image,D,https://pbs.twimg.com/profile_images/597758898087587840/WFulk7EO.png,https://twitter.com/hillaryclinton,3505484,https://www.facebook.com/hillaryclinton?fref=ts&ref=br_tf,821588,3.92,,"http://content.time.com/time/specials/packages/article/0,28804,1984685_1984713_1984669,00.html"
2,Donald,Trump,Trump_image,R,https://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_400x400.jpg,https://twitter.com/realDonaldTrump,2905509,https://www.facebook.com/DonaldTrump?fref=ts,1646795,3.73,,
3,Rand,Paul,Paul_image,R,https://pbs.twimg.com/profile_images/378800000172093378/1fdc56b3070dfe288553f20ebb49e92a.jpeg,https://twitter.com/RandPaul,613532,https://www.facebook.com/RandPaul?fref=ts,1916250,1.57,,
4,Mike,Huckabee,Huckabee_image,R,https://pbs.twimg.com/profile_images/595604836667691008/34kTwIqb.jpg,https://twitter.com/GovMikeHuckabee,365133,https://www.facebook.com/mikehuckabee?fref=ts,1728743,1.23,,
5,Joe,Biden,Biden_image,D,https://pbs.twimg.com/profile_images/453173279637766144/-zpwMHaG.jpeg,https://twitter.com/joebiden,795237,https://www.facebook.com/joebiden,"823,802",1.21,,
6,Marco,Rubio,Rubio_image,R,https://pbs.twimg.com/profile_images/588332605969342464/l3r5Akro.jpg,https://twitter.com/marcorubio,736685,https://www.facebook.com/MarcoRubio?fref=ts,853873,1.16,,
7,Ben,Carson,Carson_image,R,https://pbs.twimg.com/profile_images/572756176442388480/che-Fiex_400x400.jpeg,https://twitter.com/realbencarson,343640,https://www.facebook.com/realbencarson,"1,379,395",1.03,,
8,Ted,Cruz,Cruz_image,R,https://pbs.twimg.com/profile_images/478888071518093312/Rdiy3UhY_400x400.jpeg,https://twitter.com/tedcruz,407859,https://www.facebook.com/tedcruzpage,"1,240,908",1.03,,
9,Elizabeth,Warren,Warren_image,D,https://pbs.twimg.com/profile_images/590121467846733824/_4l7zStk_400x400.jpg,https://twitter.com/elizabethforma,133100,https://www.facebook.com/ElizabethWarren/likes,"1,413,347",0.84,,
10,Rick,Perry,Perry_image,R,https://pbs.twimg.com/profile_images/502168082408693760/-YP6nYGp_400x400.png,https://twitter.com/TeamRickPerry,35086,https://www.facebook.com/GovernorPerry,1173185,0.62,,
11,Carly,Fiorina,Fiorina_image,R,https://pbs.twimg.com/profile_images/595179129013538816/weoj-HQY.jpg,https://twitter.com/CarlyFiorina,365882,https://www.facebook.com/CarlyFiorina?fref=ts,54282,0.39,,
12,Rick,Santorum,Santorum_image,R,https://pbs.twimg.com/profile_images/583694454915076096/YEhBSmOi_400x400.jpg,https://twitter.com/RickSantorum,229358,https://www.facebook.com/RickSantorum?fref=ts,259092,0.36,,
13,Bobby,Jindal,Jindal_image,R,https://pbs.twimg.com/profile_images/87988618/jindalprofile_400x400.jpg,https://twitter.com/BobbyJindal,183030,https://www.facebook.com/bobbyjindal?fref=ts,238406,0.30,,
14,Jeb,Bush,Bush_image,R,https://pbs.twimg.com/profile_images/591000793303547905/eu1KYXqx_400x400.jpg,https://twitter.com/JebBush,187159,https://www.facebook.com/jebbush,175350,0.27,,
15,Scott,Walker,Walker_image,R,https://pbs.twimg.com/profile_images/552857703186317312/PzRWBkHj_400x400.jpeg,https://twitter.com/ScottWalker,131579,https://www.facebook.com/scottwalkerforgovernor?fref=ts,272237,0.27,,
16,Bernie,Sanders,Sanders_image,D,https://pbs.twimg.com/profile_images/593768630619414528/NtUnu7BX.png,https://twitter.com/BernieSanders,34739,https://www.facebook.com/berniesanders?fref=ts,448289,0.26,,
17,John,Kasich,Kasich_image,R,https://pbs.twimg.com/profile_images/555040711184117760/20mmWtH5_400x400.jpeg,https://twitter.com/JohnKasich,70626,https://www.facebook.com/JohnKasich?fref=ts,107016,0.12,,
18,Chris,Christie,Christie_image,R,https://pbs.twimg.com/profile_images/585084052492791808/oO7xuGc0_400x400.jpg,https://twitter.com/ChrisChristie,27150,https://www.facebook.com/govchristie?fref=ts,104142,0.08,,
19,Lindsay,Graham,Graham_image,R,https://pbs.twimg.com/profile_images/560831794510319617/QRAh4txz_400x400.jpeg,https://twitter.com/LindseyGrahamSC,15089,https://www.facebook.com/LindseyGrahamSC?fref=ts,106778,0.07,,
20,Martin,O'Malley,O'Malley_image,D,https://pbs.twimg.com/profile_images/576432086589915136/IpCNp1S4.jpeg,https://twitter.com/governoromalley,1924,https://www.facebook.com/MartinOMalley/likes,"65,098",0.03,,
21,George,Pataki,Pataki_image,R,https://pbs.twimg.com/profile_images/590196992137154560/SByhG3iF_400x400.jpg,https://twitter.com/GovernorPataki,27110,https://www.facebook.com/GovGeorgePataki?fref=ts,9148,0.03,,
22,Lincoln,Chaffee,Chaffee_image,D,https://pbs.twimg.com/profile_images/378800000433899667/8238019d8e6e4b2117a79850576e5069.jpeg,https://twitter.com/lincolnchafee,15551,https://www.facebook.com/GovernorChafee,"6,031",0.02,,
23,Jim,Webb,Webb_image,D,https://pbs.twimg.com/profile_images/501859536135655424/rDjwaf2z_400x400.jpeg,https://twitter.com/jimwebbusa,7778,https://www.facebook.com/IHeardMyCountryCalling,"21,390",0.02,,
